prefecture	term	covered	source_count	categories	example
富山県	ネブタ流し	no	1	風俗慣習	滑川のネブタ流し
富山県	七夕流し	no	1	風俗慣習	尾山の七夕流し
富山県	御車山行事	no	1	風俗慣習	高岡御車山祭の御車山行事
富山県	歌と踊	no	1	民俗芸能	五箇山の歌と踊
富山県	神行事	no	1	風俗慣習	越中の田の神行事
富山県	築山行事	no	1	風俗慣習	放生津八幡宮祭の曳山・築山行事
富山県	曳山	yes	1	風俗慣習	放生津八幡宮祭の曳山・築山行事
富山県	曳山行事	yes	1	風俗慣習	城端神明宮祭の曳山行事
山口県	神舞	no	2	民俗芸能	岩国行波の神舞
山口県	サバー送り	no	1	風俗慣習	北浦地方のサバー送り
山口県	トイトイ	no	1	風俗慣習	地福のトイトイ
山口県	占手相撲	no	1	風俗慣習	玉祖神社の占手相撲
山口県	周防	no	1	風俗慣習	周防・長門の辻堂の習俗
山口県	岩国南条踊	no	1	民俗芸能	岩国南条踊
山口県	柱松行事	no	1	風俗慣習	周防祖生の柱松行事
山口県	神」神事	no	1	風俗慣習	蓋井島「山の神」神事
山口県	花笠踊	no	1	民俗芸能	八代の花笠踊
山口県	三作神楽	yes	2	民俗芸能	三作神楽
山口県	徳地人形浄瑠璃	yes	1	民俗芸能	徳地人形浄瑠璃
山口県	滝坂神楽	yes	1	民俗芸能	滝坂神楽
山口県	神明祭	yes	1	風俗慣習	阿月の神明祭
山口県	赤崎神社奉納芸能	yes	1	民俗芸能	赤崎神社奉納芸能
山形県	杉沢比山	no	2	民俗芸能	杉沢比山
山形県	黒川能	no	2	民俗芸能	黒川能
山形県	アマハゲ	no	1	風俗慣習	遊佐のアマハゲ
山形県	オナカマ習俗	no	1	風俗慣習	村山地方のオナカマ習俗
山形県	ケヤキキョウダイ	no	1	風俗慣習	浜中のケヤキキョウダイ（契約姉妹）
山形県	仁田山鹿子踊	no	1	民俗芸能	萩野・仁田山鹿子踊
山形県	勧進	no	1	風俗慣習	最上地方の山の神の勧進
山形県	吹浦延年	no	1	民俗芸能	吹浦延年
山形県	大松明行事	no	1	風俗慣習	松例祭の大松明行事
山形県	安久津延年	no	1	民俗芸能	安久津延年
山形県	小正月行事	no	1	風俗慣習	遊佐の小正月行事
山形県	延年	no	1	民俗芸能	新山の延年
山形県	林家舞楽	no	1	民俗芸能	林家舞楽
山形県	舞楽	no	1	民俗芸能	谷地の舞楽
山形県	萩野	no	1	民俗芸能	萩野・仁田山鹿子踊
山形県	蕨岡延年	no	1	民俗芸能	蕨岡延年
山形県	高寺八講	no	1	民俗芸能	高寺八講
山形県	黒森歌舞伎	no	1	民俗芸能	黒森歌舞伎
山形県	山車行事	yes	1	風俗慣習	新庄まつりの山車行事
山梨県	大念仏	no	2	民俗芸能	無生野の大念仏
山梨県	天津司舞	no	2	民俗芸能	天津司舞
山梨県	お松引き	no	1	風俗慣習	丹波山のお松引き
山梨県	春駒	no	1	民俗芸能	一之瀬高橋の春駒
山梨県	火祭	yes	2	風俗慣習	吉田の火祭
山梨県	ほうとう祭	yes	1	風俗慣習	若神子のほうとう祭
山梨県	安産祭	yes	1	風俗慣習	山中の安産祭
山梨県	藤切り祭	yes	1	風俗慣習	大善寺の藤切り祭
岐阜県	神事芸能	no	3	民俗芸能	南宮の神事芸能
岐阜県	延年	no	2	民俗芸能	長滝の延年
岐阜県	拝殿踊	no	2	民俗芸能	白鳥の拝殿踊
岐阜県	掛踊	no	2	民俗芸能	寒水の掛踊
岐阜県	ヒンココ	no	1	民俗芸能	大矢田のヒンココ
岐阜県	古調郡上踊	no	1	民俗芸能	古調郡上踊
岐阜県	狂言	no	1	民俗芸能	能郷の能・狂言
岐阜県	猿楽狂言	no	1	民俗芸能	能郷の猿楽狂言
岐阜県	糸切りからくり	no	1	民俗芸能	久田見の糸切りからくり
岐阜県	美濃流しにわか	no	1	民俗芸能	美濃流しにわか
岐阜県	軕行事	no	1	風俗慣習	大垣祭の軕行事
岐阜県	郡上踊	no	1	民俗芸能	郡上踊
