kind_code	kind_name	prefecture	name	category	subcategory	detail_url
302	重要無形民俗文化財	宮城県	米川の水かぶり	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/302/735
302	重要無形民俗文化財	宮城県	羽田のお山がけ	風俗慣習	人生・儀礼	https://kunishitei.bunka.go.jp/heritage/detail/302/734
302	重要無形民俗文化財	宮城県	雄勝法印神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/302/632
312	記録作成等の措置を講ずべき無形の民俗文化財	宮城県	中新田の虎舞	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/00000834
312	記録作成等の措置を講ずべき無形の民俗文化財	宮城県	大崎八幡神社の能神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/207
312	記録作成等の措置を講ずべき無形の民俗文化財	宮城県	小迫の延年	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/312/206
312	記録作成等の措置を講ずべき無形の民俗文化財	宮城県	川前鹿踊・川前剣舞	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/208
312	記録作成等の措置を講ずべき無形の民俗文化財	宮城県	牡鹿法印神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/205
312	記録作成等の措置を講ずべき無形の民俗文化財	宮城県	白川犬卒都婆のゴンダチ	風俗慣習	人生・儀礼	https://kunishitei.bunka.go.jp/heritage/detail/312/770
312	記録作成等の措置を講ずべき無形の民俗文化財	宮城県	秋保の田植踊	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/312/204
312	記録作成等の措置を講ずべき無形の民俗文化財	宮城県	金津の七夕行事	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/312/00000891
312	記録作成等の措置を講ずべき無形の民俗文化財	宮城県	陸前磐城のオガミサマの習俗	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/209
302	重要無形民俗文化財	秋田県	上郷の小正月行事	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/302/662
302	重要無形民俗文化財	秋田県	保呂羽山の霜月神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/302/16
302	重要無形民俗文化財	秋田県	六郷のカマクラ行事	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/302/20
302	重要無形民俗文化財	秋田県	刈和野の大綱引き	風俗慣習	娯楽・競技	https://kunishitei.bunka.go.jp/heritage/detail/302/21
302	重要無形民俗文化財	秋田県	土崎神明社祭の曳山行事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/673
